# Simulation 10 (Up to date)
# 803 data points written for 6 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (110 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Stability margin calibers (?),Air Density (lb/ft³),Dynamic Pressure (psi)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
# Event LIFTOFF occurred at t=0.12 seconds
0.12,0.090543,3.2144,NaN,7.6475,8.529e-5
0.13,0.12673,4.024,NaN,7.6475,1.3367e-4
0.14,0.17148,4.9244,NaN,7.6475,2.0018e-4
0.15,0.22568,5.9157,NaN,7.6475,2.8887e-4
0.16,0.29024,6.9978,NaN,7.6474,4.0422e-4
0.17,0.36609,8.1708,NaN,7.6474,5.5109e-4
0.18,0.45411,9.4348,NaN,7.6474,7.3478e-4
0.19,0.55524,10.79,NaN,7.6474,9.6098e-4
0.2,0.67037,12.236,NaN,7.6474,0.0012358
0.21,0.80041,13.773,NaN,7.6473,0.0015658
0.22,0.94628,15.401,NaN,7.6473,0.0019579
0.23,1.1089,17.121,NaN,7.6473,0.0024195
0.24,1.2891,18.931,NaN,7.6472,0.0029583
0.25,1.488,20.833,NaN,7.6472,0.0035825
0.26,1.706,22.781,NaN,7.6471,0.0042837
0.27,1.9436,24.729,NaN,7.6471,0.0050477
0.28,2.2006,26.678,NaN,7.647,0.0058745
0.29,2.4771,28.627,NaN,7.647,0.0067643
0.3,2.7732,30.577,NaN,7.6469,0.0077171
0.31,3.0887,32.528,NaN,7.6468,0.008733
# Event LAUNCHROD occurred at t=0.32 seconds
0.32,3.4237,34.478,-1.5299,7.6468,0.0098119
0.335,3.9628,37.406,-1.4066,7.6466,0.011549
0.3575,4.8539,41.799,-1.2542,7.6464,0.01442
0.39125,6.3759,48.393,-1.1062,7.6461,0.019328
0.44125,9.0399,58.172,-0.84109,7.6455,0.027926
0.49125,12.193,67.963,-0.62546,7.6449,0.038115
0.54125,15.837,77.783,-0.43635,7.6441,0.04992
0.59125,19.972,87.64,-0.24861,7.6432,0.063366
0.64125,24.601,97.535,-0.043429,7.6422,0.078471
0.69125,29.726,107.47,0.12733,7.641,0.095251
0.74125,35.349,117.43,0.24642,7.6398,0.11372
0.79125,41.47,127.44,0.38583,7.6385,0.1339
0.84125,48.093,137.47,0.47773,7.6371,0.15579
0.89125,55.218,147.51,0.54839,7.6355,0.17933
0.94125,62.844,157.54,0.63626,7.6338,0.2045
0.99125,70.971,167.56,0.6691,7.6321,0.2313
1.0413,79.6,177.58,0.6849,7.6302,0.25973
1.0913,88.727,187.52,0.715,7.6282,0.28955
1.1413,98.349,197.33,0.78317,7.6261,0.32054
1.1913,108.46,207.01,0.81047,7.6239,0.35266
1.2413,119.05,216.56,0.86808,7.6216,0.38581
1.2913,130.11,226.02,0.88929,7.6192,0.42012
1.3413,141.65,235.55,0.89702,7.6167,0.45615
1.3913,153.67,245.16,0.92147,7.6141,0.49397
1.4413,166.17,254.85,0.96519,7.6114,0.53361
1.4913,179.15,264.63,0.98206,7.6085,0.57512
1.5413,192.63,274.42,1.0323,7.6056,0.61823
1.5913,206.6,284.19,1.0924,7.6026,0.66275
1.6413,221.05,293.92,1.1239,7.5994,0.70864
1.6913,235.99,303.63,1.1573,7.5962,0.7559
1.7413,251.41,313.3,1.1754,7.5928,0.80444
1.7913,267.31,322.89,1.2299,7.5893,0.85408
1.8413,283.7,332.41,1.2772,7.5858,0.90474
1.8913,300.55,341.85,1.3345,7.5821,0.9564
1.9413,317.88,351.22,1.3477,7.5783,1.009
1.9913,335.68,360.61,1.3773,7.5744,1.0632
2.0413,353.94,370.04,1.4245,7.5704,1.1189
2.0913,372.68,379.51,1.4703,7.5663,1.1763
2.1413,391.89,389.01,1.5017,7.5621,1.2352
2.1913,411.58,398.54,1.5449,7.5578,1.2957
2.2413,431.75,408.05,1.5928,7.5534,1.3575
2.2913,452.39,417.56,1.6038,7.5489,1.4207
2.3412,473.5,427.05,1.6426,7.5443,1.4851
2.3912,495.09,436.53,1.6896,7.5396,1.5508
2.4412,517.15,445.97,1.7115,7.5348,1.6176
2.4912,539.69,455.36,1.6939,7.5298,1.6853
2.5412,562.69,464.69,1.6724,7.5248,1.7539
2.5912,586.16,473.97,1.6673,7.5197,1.8233
2.6412,610.08,483.18,1.664,7.5144,1.8936
2.6912,634.47,492.32,1.675,7.5091,1.9645
2.7412,659.31,501.38,1.6935,7.5036,2.0361
2.7912,684.61,510.38,1.6929,7.4981,2.1082
2.8412,710.35,519.3,1.6897,7.4924,2.1809
2.8912,736.54,528.14,1.6743,7.4867,2.2541
2.9412,763.16,536.9,1.7062,7.4808,2.3277
2.9912,790.22,545.59,1.7161,7.4749,2.4017
3.0412,817.72,554.19,1.7352,7.4689,2.4761
3.0912,845.64,562.72,1.7411,7.4627,2.5508
3.1412,873.99,571.19,1.7656,7.4565,2.626
3.1912,902.76,579.61,1.7931,7.4502,2.7017
3.2412,931.95,587.97,1.8293,7.4438,2.7778
3.2912,961.55,596.26,1.8564,7.4372,2.8542
3.3412,991.57,604.48,1.8741,7.4306,2.9308
3.3912,1022,612.61,1.8945,7.4239,3.0075
3.4412,1052.8,620.66,1.9162,7.4171,3.0842
3.4912,1084.1,628.62,1.9607,7.4102,3.161
3.5412,1115.7,636.51,2.0043,7.4033,3.2377
3.5912,1147.7,644.31,2.037,7.3962,3.3144
3.6412,1180.1,652.03,2.0532,7.3891,3.3911
3.6912,1212.9,659.67,2.095,7.3818,3.4676
3.7412,1246.1,667.23,2.0969,7.3745,3.544
3.7912,1279.6,674.71,2.0981,7.3671,3.6202
3.8412,1313.6,682.1,2.0984,7.3596,3.6963
3.8912,1347.8,689.41,2.0991,7.352,3.772
3.9412,1382.5,696.62,2.0944,7.3443,3.8473
3.9912,1417.5,703.25,2.086,7.3366,3.9168
4.0412,1452.8,709.08,2.0959,7.3287,3.9778
4.0912,1488.4,714.12,2.1135,7.3208,4.0301
4.1412,1524.2,718.36,2.1259,7.3129,4.0737
4.1912,1560.2,721.97,2.1479,7.3049,4.1102
4.2412,1596.4,725.15,2.1659,7.2969,4.1419
4.2912,1632.7,727.89,2.1718,7.2888,4.1688
4.3412,1669.2,730.21,2.1834,7.2811,4.1909
4.3912,1705.7,732.11,2.2027,7.2734,4.2083
4.4412,1742.4,733.76,2.2285,7.2657,4.2228
4.4912,1779.1,735.18,2.2571,7.258,4.2347
4.5412,1815.9,736.38,2.2748,7.2503,4.244
4.5912,1852.7,737.36,2.2683,7.2426,4.2508
4.6412,1889.6,738.15,2.2511,7.2349,4.2554
4.6912,1926.5,738.77,2.2516,7.2271,4.2579
4.7412,1963.5,739.22,2.2469,7.2193,4.2585
4.7912,2000.4,739.5,2.2397,7.2116,4.2572
4.8412,2037.4,739.61,2.2374,7.2038,4.2538
4.8912,2074.4,739.56,2.2322,7.196,4.2487
4.9412,2111.4,739.35,2.2191,7.1882,4.2417
4.9912,2148.3,738.99,2.2382,7.1804,4.233
5.0412,2185.3,738.47,2.2474,7.1726,4.2225
5.0912,2222.2,737.83,2.2479,7.1649,4.2107
5.1412,2259,737.09,2.2601,7.1571,4.1977
5.1912,2295.9,736.25,2.2568,7.1493,4.1835
5.2412,2332.7,735.31,2.2792,7.1415,4.1683
5.2912,2369.4,734.27,2.2876,7.1338,4.152
5.3412,2406.1,733.18,2.3099,7.126,4.1352
5.3912,2442.7,732.03,2.3137,7.1182,4.1177
5.4412,2479.3,730.82,2.2955,7.1105,4.0996
5.4912,2515.8,729.54,2.2826,7.1028,4.0809
5.5412,2552.3,728.2,2.2623,7.095,4.0615
5.5912,2588.6,726.77,2.2422,7.0873,4.0411
5.6412,2624.9,725.26,2.2314,7.0796,4.02
5.6912,2661.1,723.66,2.2268,7.0719,3.998
5.7412,2697.3,722,2.2123,7.0643,3.9752
5.7912,2733.3,720.27,2.2269,7.0566,3.952
5.8412,2769.3,718.5,2.2474,7.049,3.9283
5.8912,2805.2,716.67,2.2523,7.0413,3.9041
5.9412,2841,714.79,2.2713,7.0337,3.8794
5.9912,2876.7,712.81,2.2694,7.0261,3.8538
6.0412,2912.3,710.73,2.2897,7.0185,3.8271
6.0912,2947.7,708.53,2.2902,7.011,3.7994
6.1412,2983.1,706.23,2.297,7.0034,3.7707
6.1912,3018.4,703.83,2.2956,6.9959,3.7412
6.2412,3053.5,701.4,2.2947,6.9884,3.7114
6.2912,3088.5,698.95,2.2871,6.981,3.6816
6.3412,3123.4,696.48,2.2567,6.9735,3.6517
6.3912,3158.1,693.99,2.2385,6.9661,3.6217
6.4412,3192.8,691.47,2.2359,6.9587,3.5917
6.4912,3227.3,688.94,2.2293,6.9513,3.5617
6.5412,3261.7,686.39,2.2017,6.9439,3.5316
6.5912,3295.9,683.82,2.1898,6.9368,3.5017
6.6412,3330.1,681.24,2.1687,6.9299,3.4718
# Event BURNOUT occurred at t=6.6912 seconds
6.6912,3364.1,678.64,2.171,6.923,3.442
6.7412,3397.9,676.05,2.1951,6.9162,3.4123
6.7912,3431.7,673.46,2.1944,6.9094,3.383
6.8412,3465.3,670.89,2.212,6.9026,3.3538
6.8912,3498.8,668.32,2.2008,6.8958,3.325
6.9412,3532.1,665.76,2.2094,6.8891,3.2964
6.9912,3565.3,663.21,2.2283,6.8824,3.268
7.0412,3598.4,660.67,2.2511,6.8757,3.2398
7.0912,3631.4,658.14,2.2625,6.869,3.2119
7.1412,3664.2,655.62,2.2584,6.8623,3.1843
7.1912,3697,653.11,2.2425,6.8557,3.1569
7.2412,3729.6,650.6,2.2407,6.8491,3.1297
7.2912,3762,648.1,2.2213,6.8425,3.1027
7.3412,3794.4,645.62,2.2162,6.836,3.076
7.3912,3826.6,643.14,2.1682,6.8294,3.0495
7.4412,3858.7,640.66,2.1786,6.8229,3.0232
7.4912,3890.6,638.2,2.1698,6.8164,2.9971
7.5412,3922.5,635.74,2.1738,6.8099,2.9713
7.5912,3954.2,633.3,2.1754,6.8035,2.9456
7.6412,3985.8,630.85,2.1544,6.797,2.9202
7.6912,4017.3,628.42,2.1462,6.7906,2.895
7.7412,4048.7,626,2.1364,6.7842,2.87
7.7912,4079.9,623.58,2.1551,6.7779,2.8452
7.8412,4111,621.17,2.182,6.7715,2.8206
7.8912,4142,618.77,2.193,6.7652,2.7962
7.9412,4172.9,616.37,2.1963,6.7589,2.772
7.9912,4203.7,613.98,2.205,6.7526,2.748
8.0412,4234.3,611.6,2.2242,6.7464,2.7242
8.0912,4264.8,609.23,2.2196,6.7401,2.7006
8.1412,4295.2,606.86,2.2148,6.7339,2.6772
8.1912,4325.5,604.5,2.2173,6.7277,2.6539
8.2412,4355.7,602.14,2.2089,6.7216,2.6309
8.2912,4385.7,599.8,2.21,6.7154,2.608
8.3412,4415.7,597.46,2.2089,6.7093,2.5854
8.3912,4445.5,595.13,2.2059,6.7032,2.5629
8.4412,4475.2,592.8,2.2013,6.6971,2.5406
8.4912,4504.7,590.48,2.1942,6.691,2.5185
8.5412,4534.2,588.17,2.2016,6.685,2.4965
8.5912,4563.6,585.86,2.2016,6.679,2.4747
8.6412,4592.8,583.56,2.2012,6.673,2.4531
8.6912,4621.9,581.27,2.2027,6.667,2.4317
8.7412,4650.9,578.98,2.1892,6.661,2.4105
8.7912,4679.8,576.7,2.181,6.6551,2.3894
8.8412,4708.6,574.42,2.141,6.6492,2.3685
8.8912,4737.3,572.16,2.1357,6.6433,2.3477
8.9412,4765.8,569.89,2.1475,6.6374,2.3271
8.9912,4794.3,567.64,2.1454,6.6315,2.3067
9.0412,4822.6,565.38,2.1404,6.6257,2.2864
9.0912,4850.8,563.14,2.147,6.6199,2.2663
9.1412,4878.9,560.9,2.1432,6.6141,2.2464
9.1912,4906.9,558.67,2.1246,6.6083,2.2266
9.2412,4934.8,556.44,2.1276,6.6027,2.207
9.2912,4962.5,554.22,2.1387,6.5974,2.1876
9.3412,4990.2,552,2.1218,6.592,2.1684
9.3912,5017.7,549.79,2.1156,6.5866,2.1493
9.4412,5045.2,547.59,2.1174,6.5813,2.1304
9.4913,5072.5,545.39,2.1175,6.576,2.1116
9.5413,5099.7,543.2,2.1242,6.5707,2.093
9.5913,5126.8,541.01,2.139,6.5654,2.0745
9.6413,5153.8,538.83,2.142,6.5602,2.0562
9.6913,5180.7,536.65,2.1477,6.5549,2.038
9.7413,5207.5,534.48,2.1696,6.5497,2.0199
9.7913,5234.1,532.31,2.1609,6.5445,2.002
9.8413,5260.7,530.15,2.152,6.5394,1.9842
9.8913,5287.1,528,2.1353,6.5342,1.9665
9.9413,5313.5,525.85,2.1152,6.5291,1.949
9.9913,5339.7,523.7,2.1007,6.5239,1.9316
10.041,5365.9,521.56,2.098,6.5188,1.9144
10.091,5391.9,519.43,2.0944,6.5138,1.8972
10.141,5417.8,517.3,2.0827,6.5087,1.8803
10.191,5443.6,515.17,2.0643,6.5037,1.8634
10.241,5469.3,513.05,2.0516,6.4986,1.8467
10.291,5494.9,510.94,2.0707,6.4936,1.8301
10.341,5520.4,508.83,2.08,6.4886,1.8136
10.391,5545.8,506.72,2.0967,6.4837,1.7972
10.441,5571.1,504.62,2.1246,6.4787,1.781
10.491,5596.3,502.52,2.1379,6.4738,1.7649
10.541,5621.3,500.43,2.1445,6.4689,1.7489
10.591,5646.3,498.34,2.1388,6.464,1.733
10.641,5671.2,496.26,2.1328,6.4591,1.7173
10.691,5695.9,494.18,2.1302,6.4542,1.7016
10.741,5720.6,492.11,2.1449,6.4494,1.6861
10.791,5745.1,490.04,2.1354,6.4446,1.6707
10.841,5769.6,487.97,2.1196,6.4398,1.6554
10.891,5793.9,485.91,2.1381,6.435,1.6403
10.941,5818.2,483.86,2.1389,6.4302,1.6252
10.991,5842.3,481.81,2.139,6.4255,1.6103
11.041,5866.4,479.76,2.1265,6.4208,1.5954
11.091,5890.3,477.71,2.1089,6.4161,1.5807
11.141,5914.1,475.67,2.0875,6.4114,1.5661
11.191,5937.9,473.64,2.1273,6.4067,1.5516
11.241,5961.5,471.61,2.1311,6.4021,1.5372
11.291,5985,469.58,2.1204,6.3974,1.5229
11.341,6008.5,467.56,2.1108,6.3928,1.5087
11.391,6031.8,465.54,2.1055,6.3882,1.4947
11.441,6055,463.53,2.1106,6.3836,1.4807
11.491,6078.1,461.52,2.1053,6.3791,1.4668
11.541,6101.2,459.51,2.083,6.3745,1.4531
11.591,6124.1,457.51,2.087,6.37,1.4394
11.641,6146.9,455.51,2.1031,6.3655,1.4259
11.691,6169.6,453.51,2.1032,6.361,1.4124
11.741,6192.3,451.52,2.0763,6.3565,1.399
11.791,6214.8,449.54,2.0622,6.3521,1.3858
11.841,6237.2,447.55,2.0749,6.3477,1.3726
11.891,6259.6,445.57,2.1052,6.3432,1.3596
11.941,6281.8,443.6,2.1094,6.3389,1.3466
11.991,6303.9,441.62,2.1043,6.3345,1.3337
12.041,6325.9,439.66,2.108,6.3301,1.321
12.091,6347.9,437.69,2.1137,6.3258,1.3083
12.141,6369.7,435.73,2.1128,6.3214,1.2957
12.191,6391.5,433.77,2.1086,6.3171,1.2832
12.241,6413.1,431.82,2.0966,6.3129,1.2708
12.291,6434.6,429.86,2.1107,6.3086,1.2585
12.341,6456.1,427.92,2.1075,6.3043,1.2463
12.391,6477.4,425.97,2.1088,6.3001,1.2341
12.441,6498.7,424.03,2.0916,6.2959,1.2221
12.491,6519.8,422.09,2.0645,6.2917,1.2102
12.541,6540.9,420.16,2.0615,6.2875,1.1983
12.591,6561.8,418.23,2.0397,6.2833,1.1865
12.641,6582.7,416.3,2.0483,6.2795,1.1749
12.691,6603.5,414.38,2.0457,6.2756,1.1633
12.741,6624.1,412.45,2.0279,6.2717,1.1519
12.791,6644.7,410.54,2.0155,6.2679,1.1405
12.841,6665.2,408.62,2.0204,6.264,1.1292
12.891,6685.6,406.71,1.9972,6.2602,1.1179
12.941,6705.9,404.8,1.9956,6.2564,1.1068
12.991,6726.1,402.89,2.0118,6.2527,1.0958
13.041,6746.2,400.99,2.0127,6.2489,1.0848
13.091,6766.2,399.09,1.985,6.2452,1.0739
13.141,6786.1,397.2,2.016,6.2414,1.0631
13.191,6805.9,395.3,2.027,6.2377,1.0523
13.241,6825.6,393.41,2.0129,6.234,1.0417
13.291,6845.2,391.53,2.017,6.2303,1.0311
13.341,6864.8,389.64,2.0257,6.2267,1.0206
13.391,6884.2,387.76,2.061,6.223,1.0102
13.441,6903.5,385.88,2.0852,6.2194,0.99984
13.491,6922.8,384.01,2.0864,6.2158,0.98957
13.541,6941.9,382.13,2.0865,6.2122,0.97938
13.591,6961,380.26,2.0894,6.2086,0.96926
13.641,6980,378.4,2.0755,6.2051,0.95922
13.691,6998.8,376.53,2.0888,6.2015,0.94925
13.741,7017.6,374.67,2.0669,6.198,0.93936
13.791,7036.3,372.81,2.0507,6.1945,0.92954
13.841,7054.9,370.96,2.0741,6.191,0.91979
13.891,7073.4,369.11,2.0785,6.1875,0.91011
13.941,7091.8,367.26,2.0641,6.1841,0.90051
13.991,7110.1,365.41,2.0395,6.1806,0.89098
14.041,7128.3,363.56,2.0509,6.1772,0.88151
14.091,7146.5,361.72,2.0344,6.1738,0.87212
14.141,7164.5,359.88,2.024,6.1704,0.8628
14.191,7182.5,358.04,2.0255,6.167,0.85355
14.241,7200.3,356.21,1.9917,6.1636,0.84436
14.291,7218.1,354.38,1.9703,6.1603,0.83525
14.341,7235.8,352.55,1.9904,6.1569,0.8262
14.391,7253.3,350.72,1.9987,6.1536,0.81722
14.441,7270.8,348.9,1.9716,6.1503,0.80831
14.491,7288.2,347.08,1.9505,6.1471,0.79947
14.541,7305.5,345.26,1.945,6.1438,0.79069
14.591,7322.8,343.44,1.9458,6.1405,0.78197
14.641,7339.9,341.63,1.9793,6.1373,0.77332
14.691,7356.9,339.81,2.0074,6.1341,0.76474
14.741,7373.9,338,1.9989,6.1309,0.75622
14.791,7390.7,336.2,1.9772,6.1277,0.74777
14.841,7407.5,334.39,1.9487,6.1245,0.73938
14.891,7424.2,332.59,1.9591,6.1214,0.73105
14.941,7440.7,330.79,1.9826,6.1183,0.72279
