# Simulation 1 (Up to date)
# 728 data points written for 18 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Gravitational acceleration (ft/s²),Angle of attack (°),Mass (lb),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (lbf),Drag force (lbf),Drag coefficient (?),Normal force coefficient (?),Air temperature (°F),Air pressure (psi),Dynamic Pressure (psi),Max Dynamic Pressure (psi)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
7.7912,4078.2,623.05,-48.356,32.114,0.061488,80,2.9706,0.5663,50873842,0,40.382,0.50252,0.0086187,44.457,12.66,2.8411,4.2556
7.8412,4109.3,620.64,-48.203,32.114,0.032062,80,2.9823,0.56418,50639143,0,40.012,0.50224,0.0044823,44.346,12.646,2.8165,4.2556
7.8912,4140.3,618.23,-48.058,32.114,0.062059,80,2.9664,0.56205,50403857,0,39.643,0.50197,0.008694,44.235,12.631,2.7921,4.2556
7.9412,4171.1,615.83,-47.914,32.114,0.082121,80,2.9552,0.55992,5.017e7,0,39.277,0.50169,0.01152,44.125,12.617,2.7679,4.2556
7.9912,4201.8,613.44,-47.765,32.114,0.060051,80,2.9634,0.55782,49937783,0,38.916,0.50142,0.0084065,44.016,12.602,2.7439,4.2556
8.0412,4232.4,611.05,-47.62,32.114,0.050359,80,2.966,0.55571,49706409,0,38.558,0.50116,0.0070423,43.906,12.588,2.7201,4.2556
8.0912,4262.9,608.68,-47.475,32.113,0.035579,80,2.971,0.55362,49476126,0,38.204,0.50089,0.0049681,43.798,12.573,2.6965,4.2556
8.1412,4293.3,606.31,-47.332,32.113,0.020356,80,2.9762,0.55152,49246818,0,37.852,0.50062,0.0028382,43.689,12.559,2.6731,4.2556
8.1912,4323.6,603.94,-47.194,32.113,0.037791,80,2.9662,0.54943,49017605,0,37.503,0.50036,0.0052751,43.581,12.545,2.6498,4.2556
8.2412,4353.7,601.59,-47.053,32.113,0.027257,80,2.9693,0.54735,4.879e7,0,37.157,0.5001,0.0038004,43.474,12.531,2.6268,4.2556
8.2912,4383.7,599.24,-46.916,32.113,0.029113,80,2.9666,0.54527,48563142,0,36.814,0.49983,0.0040586,43.367,12.517,2.6039,4.2556
8.3412,4413.6,596.89,-46.776,32.113,5.4196e-4,80,2.9781,0.5432,48337950,0,36.476,0.49958,7.536e-5,43.26,12.503,2.5813,4.2556
8.3912,4443.4,594.56,-46.639,32.113,0.0080784,80,2.9728,0.54113,48113182,0,36.14,0.49932,0.0011237,43.154,12.489,2.5588,4.2556
8.4412,4473.1,592.23,-46.505,32.113,0.014147,80,2.9682,0.53907,47889293,0,35.806,0.49906,0.0019682,43.048,12.475,2.5365,4.2556
8.4912,4502.6,589.91,-46.371,32.113,0.026217,80,2.9608,0.53702,47666500,0,35.476,0.49881,0.0036501,42.943,12.461,2.5144,4.2556
8.5412,4532.1,587.59,-46.236,32.113,0.057701,80,2.9445,0.53498,47445162,0,35.15,0.49856,0.0080518,42.838,12.447,2.4924,4.2556
8.5912,4561.4,585.29,-46.101,32.113,0.098967,80,2.9238,0.53294,47225058,0,34.828,0.49831,0.013852,42.733,12.433,2.4706,4.2556
8.6412,4590.6,582.98,-45.971,32.112,0.10427,80,2.9197,0.5309,47004975,0,34.507,0.49806,0.014596,42.629,12.419,2.449,4.2556
8.6912,4619.7,580.69,-45.845,32.112,0.082712,80,2.9279,0.52886,46785141,0,34.187,0.49781,0.011556,42.525,12.406,2.4276,4.2556
8.7412,4648.7,578.4,-45.716,32.112,0.10657,80,2.9153,0.52684,46567458,0,33.873,0.49757,0.014914,42.422,12.392,2.4064,4.2556
8.7912,4677.5,576.12,-45.592,32.112,0.082772,80,2.9246,0.52481,46349463,0,33.558,0.49732,0.011559,42.319,12.378,2.3853,4.2556
8.8412,4706.3,573.84,-45.465,32.112,0.1086,80,2.9111,0.5228,46133713,0,33.25,0.49708,0.015194,42.217,12.365,2.3644,4.2556
8.8912,4734.9,571.57,-45.342,32.112,0.10508,80,2.9111,0.52079,45918128,0,32.942,0.49684,0.014693,42.115,12.351,2.3436,4.2556
8.9412,4763.4,569.31,-45.219,32.112,0.10748,80,2.9084,0.51879,45703629,0,32.638,0.4966,0.015028,42.013,12.338,2.3231,4.2556
8.9912,4791.9,567.05,-45.099,32.112,0.09414,80,2.9129,0.51678,4.549e7,0,32.335,0.49636,0.013145,41.911,12.325,2.3026,4.2556
9.0412,4820.2,564.8,-44.981,32.112,0.062657,80,2.9259,0.51478,45276046,0,32.035,0.49612,0.0087248,41.811,12.311,2.2824,4.2556
9.0912,4848.3,562.55,-44.869,32.112,0.0088634,80,2.9493,0.51277,45062286,0,31.735,0.49589,0.0012285,41.71,12.298,2.2623,4.2556
9.1412,4876.4,560.31,-44.757,32.112,0.073828,80,2.9176,0.51077,4.485e7,0,31.439,0.49565,0.010284,41.61,12.285,2.2423,4.2556
9.1912,4904.4,558.07,-44.637,32.111,0.048194,80,2.928,0.50879,4.464e7,0,31.149,0.49542,0.0066981,41.51,12.272,2.2225,4.2556
9.2412,4932.2,555.85,-44.526,32.111,0.092999,80,2.9058,0.5068,4.443e7,0,30.859,0.49519,0.012969,41.411,12.259,2.203,4.2556
9.2912,4960,553.62,-44.411,32.111,0.085209,80,2.9079,0.50483,44223811,0,30.575,0.49496,0.011872,41.312,12.246,2.1836,4.2556
9.3412,4987.6,551.4,-44.305,32.111,0.15345,80,2.8752,0.50285,44016342,0,30.291,0.49473,0.021493,41.214,12.234,2.1644,4.2556
9.3912,5015.1,549.19,-44.192,32.111,0.15926,80,2.8711,0.50088,43811101,0,30.011,0.4945,0.022312,41.115,12.222,2.1453,4.2556
9.4412,5042.5,546.98,-44.083,32.111,0.17768,80,2.8613,0.49891,43606239,0,29.733,0.49428,0.024923,41.018,12.21,2.1264,4.2556
9.4913,5069.8,544.78,-43.968,32.111,0.15267,80,2.8713,0.49696,43403106,0,29.457,0.49405,0.021367,40.92,12.197,2.1076,4.2556
9.5413,5097,542.59,-43.856,32.111,0.13218,80,2.8792,0.49501,43200560,0,29.184,0.49383,0.018466,40.823,12.185,2.089,4.2556
9.5913,5124,540.4,-43.748,32.111,0.14437,80,2.8722,0.49306,42997904,0,28.912,0.49361,0.020184,40.727,12.173,2.0705,4.2556
9.6413,5151,538.21,-43.64,32.111,0.15087,80,2.8679,0.49111,42796064,0,28.643,0.49339,0.021098,40.631,12.161,2.0522,4.2556
9.6913,5177.9,536.03,-43.532,32.111,0.14738,80,2.8681,0.48917,42595137,0,28.376,0.49317,0.0206,40.535,12.149,2.034,4.2556
9.7413,5204.6,533.86,-43.426,32.111,0.14665,80,2.867,0.48723,42394816,0,28.111,0.49295,0.020491,40.44,12.137,2.0159,4.2556
9.7913,5231.3,531.69,-43.318,32.11,0.12943,80,2.8735,0.4853,42195553,0,27.849,0.49274,0.018057,40.345,12.125,1.998,4.2556
9.8413,5257.8,529.53,-43.209,32.11,0.086379,80,2.8919,0.48338,41997580,0,27.589,0.49252,0.012007,40.25,12.113,1.9802,4.2556
9.8913,5284.2,527.37,-43.1,32.11,0.037002,80,2.9133,0.48146,4.18e7,0,27.332,0.49231,0.0051216,40.156,12.101,1.9626,4.2556
9.9413,5310.5,525.22,-42.997,32.11,0.038069,80,2.9115,0.47954,41602849,0,27.075,0.4921,0.0052686,40.062,12.09,1.945,4.2556
9.9913,5336.7,523.07,-42.895,32.11,0.040995,80,2.9088,0.47761,41405893,0,26.821,0.49189,0.0056737,39.968,12.078,1.9277,4.2556
10.041,5362.8,520.93,-42.795,32.11,0.056453,80,2.9003,0.47569,41209348,0,26.569,0.49168,0.0078211,39.875,12.066,1.9104,4.2556
10.091,5388.8,518.79,-42.694,32.11,0.046696,80,2.9035,0.47378,41014066,0,26.319,0.49147,0.0064629,39.783,12.055,1.8933,4.2556
10.141,5414.7,516.66,-42.588,32.11,0.029503,80,2.9102,0.47189,40820983,0,26.074,0.49127,0.0040768,39.69,12.043,1.8763,4.2556
10.191,5440.5,514.53,-42.484,32.11,0.10586,80,2.8737,0.47001,40628657,0,25.831,0.49106,0.014716,39.598,12.031,1.8595,4.2556
10.241,5466.2,512.41,-42.379,32.11,0.20551,80,2.8271,0.46814,40437680,0,25.593,0.49086,0.028791,39.507,12.02,1.8427,4.2556
10.291,5491.7,510.29,-42.28,32.11,0.24493,80,2.8082,0.46625,40246048,0,25.354,0.49066,0.034416,39.416,12.009,1.8262,4.2556
10.341,5517.2,508.18,-42.18,32.11,0.30157,80,2.7816,0.46438,40055641,0,25.119,0.49046,0.042557,39.325,11.997,1.8097,4.2556
10.391,5542.5,506.08,-42.088,32.11,0.25901,80,2.7993,0.46248,39863574,0,24.879,0.49026,0.03642,39.234,11.986,1.7933,4.2556
10.441,5567.8,503.97,-41.995,32.109,0.2408,80,2.8062,0.4606,39672893,0,24.642,0.49006,0.033805,39.144,11.975,1.7771,4.2556
10.491,5592.9,501.88,-41.904,32.109,0.19402,80,2.826,0.45871,39482299,0,24.406,0.48986,0.027129,39.055,11.963,1.761,4.2556
10.541,5618,499.78,-41.809,32.109,0.21918,80,2.8135,0.45685,39294138,0,24.177,0.48966,0.030703,38.965,11.952,1.745,4.2556
10.591,5642.9,497.7,-41.716,32.109,0.23425,80,2.8055,0.45499,39106484,0,23.949,0.48947,0.032848,38.876,11.941,1.7292,4.2556
10.641,5667.8,495.61,-41.621,32.109,0.29834,80,2.7757,0.45314,38920776,0,23.726,0.48928,0.042042,38.788,11.93,1.7134,4.2556
10.691,5692.5,493.53,-41.533,32.109,0.26293,80,2.7902,0.45128,38733412,0,23.499,0.48908,0.036939,38.7,11.919,1.6978,4.2556
10.741,5717.1,491.46,-41.445,32.109,0.22331,80,2.8068,0.44942,38546686,0,23.273,0.48889,0.031269,38.612,11.908,1.6823,4.2556
10.791,5741.6,489.39,-41.36,32.109,0.16221,80,2.8332,0.44755,3.836e7,0,23.049,0.4887,0.022598,38.524,11.897,1.6669,4.2556
10.841,5766,487.32,-41.275,32.109,0.11784,80,2.8522,0.4457,38174726,0,22.827,0.48851,0.016355,38.437,11.886,1.6516,4.2556
10.891,5790.4,485.26,-41.187,32.109,0.12177,80,2.8492,0.44386,37991075,0,22.61,0.48832,0.016902,38.351,11.875,1.6365,4.2556
10.941,5814.6,483.2,-41.108,32.109,0.0048031,80,2.902,0.442,37805287,0,22.39,0.48813,6.6028e-4,38.264,11.864,1.6214,4.2556
10.991,5838.7,481.15,-41.029,32.109,0.089451,80,2.8617,0.44014,37620668,0,22.175,0.48794,0.012379,38.178,11.853,1.6065,4.2556
11.041,5862.7,479.1,-40.944,32.109,0.090176,80,2.8602,0.43831,37438663,0,21.962,0.48776,0.012478,38.093,11.843,1.5917,4.2556
11.091,5886.6,477.06,-40.856,32.108,0.054654,80,2.8754,0.4365,37258049,0,21.753,0.48758,0.0075396,38.007,11.832,1.577,4.2556
11.141,5910.4,475.02,-40.767,32.108,0.007223,80,2.8963,0.43469,37078679,0,21.545,0.4874,9.924e-4,37.923,11.821,1.5624,4.2556
11.191,5934.1,472.98,-40.689,32.108,0.05663,80,2.8723,0.43285,36897012,0,21.337,0.48721,0.0078106,37.838,11.811,1.5479,4.2556
11.241,5957.7,470.95,-40.608,32.108,0.074449,80,2.8629,0.43103,36716966,0,21.131,0.48703,0.010281,37.754,11.8,1.5335,4.2556
11.291,5981.2,468.92,-40.526,32.108,0.079739,80,2.8594,0.42922,36537766,0,20.927,0.48685,0.011015,37.67,11.79,1.5192,4.2556
11.341,6004.6,466.89,-40.444,32.108,0.07724,80,2.8594,0.42741,36359302,0,20.725,0.48668,0.010665,37.587,11.779,1.5051,4.2556
11.391,6027.9,464.87,-40.366,32.108,0.1084,80,2.844,0.4256,36180605,0,20.524,0.4865,0.015003,37.504,11.769,1.491,4.2556
11.441,6051.1,462.86,-40.286,32.108,0.11224,80,2.8411,0.42379,36003071,0,20.325,0.48632,0.015537,37.421,11.758,1.4771,4.2556
11.491,6074.2,460.85,-40.21,32.108,0.15248,80,2.8217,0.42198,35825224,0,20.127,0.48615,0.021172,37.339,11.748,1.4632,4.2556
11.541,6097.2,458.84,-40.132,32.108,0.16046,80,2.817,0.42018,35648627,0,19.932,0.48597,0.022291,37.257,11.738,1.4494,4.2556
11.591,6120.1,456.83,-40.055,32.108,0.16919,80,2.812,0.41838,35472520,0,19.737,0.4858,0.023516,37.175,11.727,1.4358,4.2556
11.641,6142.8,454.83,-39.978,32.108,0.17836,80,2.8067,0.41658,35296904,0,19.544,0.48563,0.024804,37.094,11.717,1.4222,4.2556
11.691,6165.5,452.83,-39.898,32.108,0.15363,80,2.8169,0.4148,35122567,0,19.353,0.48546,0.021319,37.013,11.707,1.4088,4.2556
11.741,6188.1,450.84,-39.822,32.108,0.15766,80,2.814,0.41301,34948074,0,19.163,0.48529,0.021882,36.932,11.697,1.3955,4.2556
11.791,6210.6,448.85,-39.747,32.107,0.16602,80,2.8092,0.41122,34773977,0,18.975,0.48512,0.023053,36.852,11.687,1.3822,4.2556
11.841,6233,446.87,-39.675,32.107,0.2025,80,2.7916,0.40942,3.46e7,0,18.788,0.48495,0.028198,36.772,11.677,1.3691,4.2556
11.891,6255.3,444.88,-39.599,32.107,0.18942,80,2.7965,0.40765,34427078,0,18.602,0.48478,0.026345,36.693,11.667,1.356,4.2556
11.941,6277.5,442.91,-39.529,32.107,0.23875,80,2.7733,0.40585,34253512,0,18.418,0.48462,0.033332,36.613,11.657,1.3431,4.2556
11.991,6299.6,440.93,-39.452,32.107,0.1984,80,2.7904,0.40409,34082398,0,18.235,0.48445,0.027604,36.535,11.647,1.3302,4.2556
12.041,6321.6,438.96,-39.376,32.107,0.16437,80,2.8048,0.40232,33911635,0,18.054,0.48429,0.022803,36.456,11.637,1.3174,4.2556
12.091,6343.5,436.99,-39.301,32.107,0.13518,80,2.8171,0.40055,33741253,0,17.874,0.48413,0.018706,36.378,11.627,1.3048,4.2556
12.141,6365.3,435.03,-39.228,32.107,0.11357,80,2.8259,0.39879,33571191,0,17.696,0.48396,0.015685,36.3,11.618,1.2922,4.2556
12.191,6387,433.07,-39.151,32.107,0.037705,80,2.8599,0.39704,33402868,0,17.52,0.4838,0.0051749,36.223,11.608,1.2797,4.2556
12.241,6408.6,431.12,-39.08,32.107,0.033108,80,2.861,0.39528,33233427,0,17.345,0.48364,0.0045415,36.146,11.598,1.2673,4.2556
12.291,6430.1,429.16,-39.011,32.107,0.052176,80,2.8512,0.39351,33063948,0,17.17,0.48348,0.0071671,36.069,11.589,1.255,4.2556
12.341,6451.5,427.21,-38.943,32.107,0.071585,80,2.8413,0.39175,32894965,0,16.997,0.48332,0.0098473,35.993,11.579,1.2428,4.2556
12.391,6472.8,425.27,-38.871,32.107,0.032579,80,2.8583,0.39,32727770,0,16.826,0.48317,0.0044666,35.917,11.57,1.2307,4.2556
12.441,6494,423.33,-38.803,32.107,0.046259,80,2.851,0.38824,3.256e7,0,16.656,0.48301,0.0063484,35.841,11.56,1.2187,4.2556
12.491,6515.2,421.39,-38.733,32.107,0.014096,80,2.865,0.3865,32393533,0,16.488,0.48286,0.0019291,35.766,11.551,1.2068,4.2556
12.541,6536.2,419.45,-38.664,32.106,0.015065,80,2.8636,0.38476,32227593,0,16.321,0.4827,0.0020615,35.691,11.541,1.1949,4.2556
12.591,6557.1,417.52,-38.596,32.106,0.047145,80,2.8478,0.38302,32062216,0,16.156,0.48255,0.0064674,35.616,11.532,1.1832,4.2556
12.641,6577.9,415.59,-38.525,32.106,0.12119,80,2.8128,0.3813,31899274,0,15.994,0.4824,0.016723,35.542,11.523,1.1715,4.2556
12.691,6598.7,413.67,-38.459,32.106,0.1404,80,2.8031,0.37956,31735889,0,15.832,0.48225,0.019401,35.468,11.514,1.16,4.2556
12.741,6619.3,411.75,-38.393,32.106,0.16671,80,2.7903,0.37783,31573162,0,15.671,0.4821,0.023082,35.395,11.505,1.1485,4.2556
12.791,6639.8,409.83,-38.329,32.106,0.15525,80,2.7945,0.37609,3.141e7,0,15.511,0.48195,0.021474,35.321,11.497,1.1372,4.2556
12.841,6660.3,407.92,-38.264,32.106,0.18169,80,2.7817,0.37437,31248350,0,15.353,0.4818,0.02518,35.248,11.488,1.1259,4.2556
12.891,6680.6,406,-38.2,32.106,0.20043,80,2.7723,0.37265,31086941,0,15.196,0.48165,0.027816,35.176,11.479,1.1147,4.2556
12.941,6700.9,404.1,-38.136,32.106,0.22778,80,2.7591,0.37093,30926225,0,15.041,0.4815,0.031676,35.104,11.471,1.1035,4.2556
12.991,6721,402.19,-38.071,32.106,0.2878,80,2.7314,0.36922,30766761,0,14.889,0.48136,0.040211,35.032,11.462,1.0925,4.2556
13.041,6741.1,400.29,-38.01,32.106,0.27159,80,2.7377,0.3675,30606071,0,14.734,0.48121,0.037892,34.96,11.453,1.0816,4.2556
13.091,6761.1,398.39,-37.95,32.106,0.23117,80,2.7549,0.36577,30445338,0,14.58,0.48107,0.032143,34.889,11.445,1.0707,4.2556
13.141,6780.9,396.49,-37.89,32.106,0.23139,80,2.7539,0.36406,30286004,0,14.429,0.48093,0.03217,34.818,11.437,1.0599,4.2556
13.191,6800.7,394.6,-37.829,32.106,0.24464,80,2.7471,0.36236,30127445,0,14.28,0.48078,0.034044,34.748,11.428,1.0492,4.2556
13.241,6820.4,392.71,-37.773,32.106,0.16014,80,2.7843,0.36063,29967206,0,14.128,0.48064,0.022131,34.677,11.42,1.0385,4.2556
13.291,6840,390.82,-37.714,32.106,0.15976,80,2.7837,0.35892,29809268,0,13.98,0.4805,0.022074,34.607,11.411,1.028,4.2556
13.341,6859.5,388.94,-37.656,32.105,0.13846,80,2.7925,0.35722,29651333,0,13.833,0.48036,0.019095,34.538,11.403,1.0175,4.2556
13.391,6878.9,387.06,-37.597,32.105,0.14775,80,2.7874,0.35552,29494503,0,13.688,0.48022,0.020389,34.469,11.395,1.0071,4.2556
13.441,6898.2,385.18,-37.537,32.105,0.18686,80,2.7688,0.35383,29338780,0,13.546,0.48008,0.025865,34.4,11.387,0.99675,4.2556
13.491,6917.4,383.3,-37.481,32.105,0.15652,80,2.7818,0.35213,29181991,0,13.402,0.47995,0.021609,34.331,11.378,0.9865,4.2556
13.541,6936.5,381.43,-37.423,32.105,0.18179,80,2.7695,0.35045,29026864,0,13.261,0.47981,0.025146,34.263,11.37,0.97632,4.2556
13.591,6955.5,379.56,-37.366,32.105,0.19128,80,2.7644,0.34877,28871843,0,13.121,0.47968,0.026476,34.195,11.362,0.96622,4.2556
13.641,6974.5,377.69,-37.308,32.105,0.22516,80,2.7483,0.34709,28717824,0,12.983,0.47954,0.031246,34.128,11.354,0.9562,4.2556
13.691,6993.3,375.83,-37.253,32.105,0.22022,80,2.7497,0.34541,28563383,0,12.845,0.47941,0.030545,34.061,11.346,0.94624,4.2556
13.741,7012.1,373.97,-37.203,32.105,0.11603,80,2.7961,0.3437,28407148,0,12.704,0.47927,0.015955,33.994,11.338,0.93636,4.2556
13.791,7030.7,372.11,-37.152,32.105,0.02585,80,2.8368,0.342,28251677,0,12.566,0.47914,0.0035282,33.927,11.33,0.92656,4.2556
13.841,7049.3,370.25,-37.099,32.105,0.006554,80,2.845,0.34032,28098131,0,12.431,0.47901,8.93e-4,33.861,11.322,0.91683,4.2556
13.891,7067.7,368.4,-37.049,32.105,0.056455,80,2.821,0.33863,27944043,0,12.296,0.47888,0.0077228,33.795,11.314,0.90716,4.2556
13.941,7086.1,366.55,-36.994,32.105,0.04533,80,2.8254,0.33696,27791894,0,12.163,0.47875,0.0061945,33.73,11.307,0.89757,4.2556
13.991,7104.4,364.7,-36.942,32.105,0.061922,80,2.8169,0.33529,2.764e7,0,12.031,0.47862,0.0084723,33.665,11.299,0.88806,4.2556
14.041,7122.6,362.86,-36.894,32.105,0.14139,80,2.7798,0.3336,27486221,0,11.899,0.47849,0.019469,33.6,11.291,0.87861,4.2556
14.091,7140.7,361.01,-36.84,32.105,0.10849,80,2.794,0.33194,27335605,0,11.77,0.47836,0.014897,33.535,11.283,0.86923,4.2556
14.141,7158.7,359.17,-36.788,32.105,0.10021,80,2.797,0.33028,27184844,0,11.641,0.47824,0.013749,33.471,11.276,0.85992,4.2556
14.191,7176.6,357.33,-36.735,32.105,0.0708,80,2.8098,0.32863,27034903,0,11.514,0.47811,0.0096894,33.407,11.268,0.85068,4.2556
14.241,7194.4,355.5,-36.686,32.104,0.10615,80,2.7928,0.32696,26883929,0,11.387,0.47799,0.014567,33.344,11.261,0.84151,4.2556
14.291,7212.1,353.66,-36.641,32.104,0.20285,80,2.7481,0.32527,26732007,0,11.261,0.47786,0.028055,33.28,11.253,0.83241,4.2556
14.341,7229.8,351.83,-36.59,32.104,0.19714,80,2.75,0.32362,26582560,0,11.136,0.47774,0.027249,33.217,11.246,0.82338,4.2556
14.391,7247.3,350.01,-36.543,32.104,0.24356,80,2.7284,0.32195,26432362,0,11.012,0.47761,0.033788,33.155,11.238,0.81441,4.2556
14.441,7264.8,348.18,-36.492,32.104,0.2246,80,2.7361,0.3203,26283833,0,10.889,0.47749,0.031107,33.093,11.231,0.80551,4.2556
14.491,7282.1,346.36,-36.444,32.104,0.23967,80,2.7286,0.31865,26134926,0,10.767,0.47737,0.033231,33.031,11.223,0.79668,4.2556
14.541,7299.4,344.54,-36.394,32.104,0.21902,80,2.7372,0.317,25987077,0,10.646,0.47725,0.030313,32.969,11.216,0.78791,4.2556
14.591,7316.6,342.72,-36.348,32.104,0.25256,80,2.7214,0.31534,25838425,0,10.526,0.47713,0.035047,32.908,11.209,0.77921,4.2556
14.641,7333.7,340.9,-36.303,32.104,0.30299,80,2.6983,0.31368,2.569e7,0,10.407,0.47701,0.04221,32.847,11.201,0.77058,4.2556
14.691,7350.7,339.09,-36.255,32.104,0.30861,80,2.6951,0.31203,25542272,0,10.289,0.47689,0.043008,32.786,11.194,0.76201,4.2556
14.741,7367.6,337.27,-36.21,32.104,0.34249,80,2.6794,0.31038,25394538,0,10.172,0.47678,0.047855,32.726,11.187,0.7535,4.2556
14.791,7384.4,335.47,-36.163,32.104,0.33308,80,2.6828,0.30874,25247960,0,10.055,0.47666,0.046499,32.666,11.18,0.74506,4.2556
14.841,7401.1,333.66,-36.115,32.104,0.3227,80,2.6867,0.30709,25101699,0,9.9398,0.47654,0.045008,32.606,11.173,0.73668,4.2556
14.891,7417.8,331.85,-36.061,32.104,0.19212,80,2.7443,0.30548,24958181,0,9.8253,0.47643,0.026512,32.547,11.166,0.72837,4.2556
14.941,7434.3,330.05,-36.017,32.104,0.2154,80,2.7332,0.30384,24811861,0,9.7115,0.47631,0.029778,32.488,11.158,0.72012,4.2556
14.991,7450.8,328.25,-35.972,32.104,0.22527,80,2.728,0.3022,24666120,0,9.5987,0.4762,0.031164,32.429,11.151,0.71193,4.2556
15.041,7467.2,326.45,-35.925,32.104,0.20271,80,2.7375,0.30057,24521340,0,9.4868,0.47609,0.027988,32.371,11.145,0.7038,4.2556
15.091,7483.4,324.66,-35.877,32.104,0.12749,80,2.7709,0.29895,24377949,0,9.3763,0.47598,0.017494,32.313,11.138,0.69574,4.2556
15.141,7499.6,322.87,-35.834,32.104,0.15329,80,2.7585,0.29731,24232807,0,9.2659,0.47586,0.021076,32.255,11.131,0.68774,4.2556
15.191,7515.7,321.08,-35.788,32.103,0.12913,80,2.7688,0.29568,24088989,0,9.1568,0.47575,0.017717,32.198,11.124,0.6798,4.2556
15.241,7531.7,319.29,-35.744,32.103,0.11526,80,2.7745,0.29405,23945272,0,9.0486,0.47564,0.015794,32.141,11.117,0.67192,4.2556
15.291,7547.7,317.5,-35.697,32.103,0.047718,80,2.8049,0.29244,23802960,0,8.9418,0.47554,0.006502,32.084,11.11,0.6641,4.2556
15.341,7563.5,315.72,-35.654,32.103,0.045217,80,2.8054,0.29081,2.366e7,0,8.8351,0.47543,0.0061594,32.027,11.104,0.65634,4.2556
15.391,7579.2,313.94,-35.612,32.103,0.058429,80,2.7986,0.28918,23516305,0,8.7292,0.47532,0.0079669,31.971,11.097,0.64865,4.2556
15.441,7594.9,312.16,-35.569,32.103,0.038458,80,2.8072,0.28756,23373952,0,8.6245,0.47521,0.0052347,31.915,11.09,0.64101,4.2556
15.491,7610.4,310.38,-35.529,32.103,0.077203,80,2.7887,0.28593,23230737,0,8.5199,0.4751,0.010541,31.86,11.084,0.63343,4.2556
15.541,7625.9,308.6,-35.485,32.103,0.0053041,80,2.8213,0.28433,2.309e7,0,8.4176,0.475,7.1984e-4,31.805,11.077,0.6259,4.2556
15.591,7641.3,306.83,-35.442,32.103,0.022746,80,2.8126,0.28271,22948747,0,8.3156,0.47489,0.0030911,31.75,11.07,0.61844,4.2556
15.641,7656.6,305.06,-35.398,32.103,0.10816,80,2.7726,0.28112,22808947,0,8.2156,0.47479,0.014801,31.695,11.064,0.61104,4.2556
15.691,7671.8,303.29,-35.355,32.103,0.17295,80,2.7425,0.27952,22669068,0,8.1163,0.47469,0.023789,31.641,11.057,0.60369,4.2556
15.741,7686.9,301.52,-35.315,32.103,0.17365,80,2.7416,0.2779,22528192,0,8.0164,0.47459,0.023885,31.587,11.051,0.5964,4.2556
15.791,7702,299.76,-35.277,32.103,0.14254,80,2.7551,0.27628,22386988,0,7.9166,0.47448,0.019555,31.534,11.045,0.58917,4.2556
15.841,7716.9,298,-35.238,32.103,0.1273,80,2.7614,0.27467,22246425,0,7.818,0.47438,0.017441,31.48,11.038,0.58199,4.2556
15.891,7731.8,296.24,-35.197,32.103,0.16357,80,2.7443,0.27307,22107199,0,7.7214,0.47428,0.022474,31.427,11.032,0.57487,4.2556
15.941,7746.5,294.48,-35.157,32.103,0.19568,80,2.7292,0.27147,21968201,0,7.6255,0.47418,0.026953,31.375,11.026,0.56781,4.2556
15.991,7761.2,292.72,-35.117,32.103,0.25245,80,2.7031,0.26987,2.183e7,0,7.5311,0.47408,0.034931,31.322,11.019,0.5608,4.2556
16.041,7775.8,290.97,-35.079,32.103,0.26229,80,2.6982,0.26827,21691197,0,7.4364,0.47398,0.036317,31.27,11.013,0.55384,4.2556
16.091,7790.3,289.21,-35.04,32.103,0.29655,80,2.6824,0.26668,21553185,0,7.3431,0.47389,0.041171,31.219,11.007,0.54695,4.2556
16.141,7804.7,287.46,-35.003,32.103,0.28453,80,2.6871,0.26508,21414549,0,7.2494,0.47379,0.03946,31.167,11.001,0.5401,4.2556
16.191,7819,285.71,-34.963,32.103,0.38505,80,2.6422,0.2635,21278512,0,7.1596,0.47369,0.05383,31.116,10.995,0.53331,4.2556
16.241,7833.3,283.97,-34.924,32.103,0.45454,80,2.6115,0.26192,21142191,0,7.07,0.4736,0.063894,31.065,10.989,0.52658,4.2556
16.291,7847.4,282.22,-34.889,32.102,0.40091,80,2.6342,0.26032,21003627,0,6.9773,0.4735,0.056109,31.015,10.983,0.5199,4.2556
16.341,7861.5,280.48,-34.851,32.102,0.45561,80,2.6099,0.25874,20867621,0,6.8887,0.47341,0.064038,30.965,10.977,0.51327,4.2556
16.391,7875.5,278.73,-34.812,32.102,0.58776,80,2.5528,0.25718,20733607,0,6.804,0.47332,0.083476,30.915,10.971,0.5067,4.2556
16.441,7889.4,277,-34.777,32.102,0.5712,80,2.5593,0.25559,20596757,0,6.7146,0.47322,0.081012,30.865,10.965,0.50017,4.2556
16.491,7903.2,275.26,-34.742,32.102,0.56121,80,2.563,0.254,2.046e7,0,6.6263,0.47313,0.079526,30.816,10.959,0.49371,4.2556
16.541,7916.9,273.52,-34.709,32.102,0.47884,80,2.5977,0.25239,20322767,0,6.5363,0.47304,0.067405,30.767,10.953,0.48729,4.2556
16.591,7930.5,271.79,-34.673,32.102,0.50319,80,2.5867,0.25082,20187715,0,6.4507,0.47295,0.070965,30.718,10.947,0.48092,4.2556
