1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.39,20.861,150.4,105.13,105.13,0,229.19,0,0,46628,7319.7,0,34470,229.19,0,0,0,0,0,0,2.1632,87.101,25.4,0.0408,225.46
0.4,21.913,150.36,107.39,107.39,0,226.49,0,0,46542,7649.6,0,34055,226.49,0,0,0,0,0,0,2.1643,87.058,25.358,0.0408,235.28
0.41,22.987,150.32,109.63,109.63,0,223.78,0,0,46456,7982.8,0,33638,223.78,0,0,0,0,0,0,2.1654,87.015,25.316,0.0408,245.18
0.42,24.083,150.27,111.84,111.84,0,221.04,0,0,46370,8318.9,0,33217,221.04,0,0,0,0,0,0,2.1665,86.971,25.274,0.0408,255.17
0.43,25.201,150.23,114.02,114.02,0,218.29,0,0,46284,8657.8,0,32794,218.29,0,0,0,0,0,0,2.1676,86.928,25.232,0.0408,265.23
0.44,26.342,150.19,116.18,116.18,0,215.51,0,0,46199,8999,0,32368,215.51,0,0,0,0,0,0,2.1687,86.885,25.19,0.0408,275.35
0.45,27.503,150.15,118.31,118.31,0,212.72,0,0,46113,9342.4,0,31940,212.72,0,0,0,0,0,0,2.1698,86.842,25.148,0.0408,285.53
0.46,28.686,150.11,120.41,120.41,0,209.92,0,0,46027,9687.7,0,31510,209.92,0,0,0,0,0,0,2.1709,86.798,25.105,0.0408,295.75
0.47,29.89,150.06,122.48,122.48,0,207.11,0,0,45941,10035,0,31079,207.11,0,0,0,0,0,0,2.172,86.755,25.063,0.0408,306.01
0.48,31.115,150.02,124.52,124.52,0,204.28,0,0,45855,10383,0,30646,204.28,0,0,0,0,0,0,2.1731,86.712,25.021,0.0408,316.3
0.49,32.36,149.98,126.53,126.53,0,201.45,0,0,45769,10732,0,30213,201.45,0,0,0,0,0,0,2.1742,86.668,24.979,0.0408,326.62
0.5,33.626,149.94,128.52,128.52,0,198.6,0,0,45684,11082,0,29778,198.6,0,0,0,0,0,0,2.1754,86.625,24.937,0.0408,336.95
0.51,34.911,149.9,130.48,130.48,0,195.76,0,0,45598,11433,0,29343,195.76,0,0,0,0,0,0,2.1765,86.582,24.895,0.0408,347.3
0.52,36.216,149.85,132.41,132.41,0,192.91,0,0,45512,11784,0,28908,192.91,0,0,0,0,0,0,2.1776,86.539,24.853,0.0408,357.64
0.53,37.54,149.81,134.31,134.31,0,190.05,0,0,45426,12135,0,28472,190.05,0,0,0,0,0,0,2.1787,86.495,24.811,0.0408,367.98
0.54,38.883,149.77,136.18,136.18,0,187.2,0,0,45340,12485,0,28037,187.2,0,0,0,0,0,0,2.1798,86.452,24.769,0.0408,378.31
0.55,40.245,149.73,138.02,138.02,0,184.35,0,0,45254,12836,0,27602,184.35,0,0,96.817,1.1205,0.011205,0,2.1809,86.409,24.727,0.0408,388.62
0.56,41.625,149.68,139.84,139.84,0,181.5,0,0.0064209,45169,13186,0,27168,181.5,0,0,97.257,1.1261,0.022466,-22.674,2.182,86.366,24.684,0.0408,398.91
0.57,43.023,149.64,141.62,141.62,0.00034175,178.65,0.034175,0.019295,45083,13535,0.062671,26734,178.65,5.114,0.034175,55.439,0.64224,0.028888,-45.429,2.1818,86.322,24.642,0.0408,409.17
0.58,44.44,149.6,143.38,143.38,0.0013696,175.81,0.10279,0.03585,44997,13883,0.19335,26302,175.81,15.377,0.10279,49.532,0.57409,0.034629,-58.371,2.1802,86.279,24.6,0.0408,419.39
0.59,45.873,149.56,145.11,145.11,0.003282,172.98,0.19123,0.055695,44911,14230,0.36866,25870,172.98,28.6,0.19123,47.235,0.54774,0.040106,-69.918,2.1779,86.236,24.558,0.0408,429.57
0.6,47.324,149.52,146.81,146.81,0.006257,170.15,0.2975,0.078678,44825,14575,0.58747,25440,170.15,44.482,0.2975,47.616,0.55243,0.045631,-80.915,2.1749,86.192,24.516,0.0408,439.71
0.61,48.793,149.47,148.49,148.49,0.010466,167.33,0.42088,0.10483,44740,14919,0.85089,25012,167.33,62.911,0.42088,50.066,0.58116,0.051442,-91.99,2.1713,86.149,24.474,0.0408,449.79
0.62,50.277,149.43,150.13,150.13,0.016082,164.53,0.56159,0.13431,44654,15261,1.1619,24586,164.53,83.92,0.56159,54.207,0.62954,0.057738,-103.63,2.167,86.106,24.432,0.0408,459.81
0.63,51.779,149.39,151.75,151.75,0.023288,161.73,0.72059,0.16739,44568,15601,1.525,24161,161.73,107.65,0.72059,59.818,0.69506,0.064688,-116.22,2.1621,86.063,24.39,0.0408,469.77
0.64,53.296,149.35,153.34,153.34,0.032282,158.95,0.89942,0.20447,44482,15939,1.9465,23738,158.95,134.33,0.89942,66.795,0.77651,0.072453,-130.11,2.1565,86.019,24.348,0.0408,479.66
0.65,54.83,149.31,154.9,154.9,0.043284,156.18,1.1002,0.24599,44396,16275,2.4341,23318,156.18,164.26,1.1002,75.114,0.87367,0.08119,-145.62,2.1501,85.976,24.306,0.0408,489.48
0.66,56.379,149.26,156.43,156.43,0.056538,153.42,1.3254,0.29251,44310,16608,2.9972,22900,153.42,197.84,1.3254,84.815,0.98699,0.09106,-163.05,2.1428,85.933,24.264,0.0408,499.23
0.67,57.943,149.22,157.94,157.94,0.07232,150.68,1.5782,0.3447,44225,16938,3.6472,22485,150.68,235.51,1.5782,95.98,1.1175,0.10223,-182.73,2.1346,85.889,24.221,0.0408,508.89
