x,Curve1
3.975,0.781989
4.6166,0.805724
5.1734,0.829453
6.0076,0.860782
6.8192,0.885475
7.4596,0.903522
7.994,0.921564
9.5251,0.93682
10.737,0.948266
11.9919,0.961611
12.9051,0.965456
14.4981,0.972186
15.8782,0.976059
17.1947,0.979929
18.3622,0.981893
19.381,0.982902
19.996,0.981042
