x,x/L,theta,v,v/vD,,,,
0.98,0.460616578,-1.5266,-1.0679,0.283157448,,,,
0.99,0.465316747,-1.5738,-1.0877,0.288407488,,,,
1,0.470016916,-1.622,-1.1078,0.293737074,,,,
1.01,0.474717085,-1.6711,-1.1279,0.29906666,,,,
1.02,0.479417254,-1.7213,-1.1482,0.304449276,,,,
1.03,0.484117423,-1.7724,-1.1687,0.309884923,,,,
1.04,0.488817593,-1.8245,-1.1893,0.315347086,,,,
1.05,0.493517762,-1.8777,-1.21,0.320835764,,,,
1.06,0.498217931,-1.9318,-1.2308,0.326350957,,,,
1.0638,0.500003995,-1.9318,-1.2308,0.326350957,,,,
1.0738,0.504704164,-1.9384,-1.2502,0.331494936,,,,
1.0838,0.509404333,-1.945,-1.2697,0.336665429,,,,
1.0938,0.514104503,-1.9515,-1.2894,0.341888954,,,,
1.1038,0.518804672,-1.9581,-1.3091,0.347112478,,,,
1.1138,0.523504841,-1.9647,-1.329,0.352389033,,,,
1.1238,0.52820501,-1.9712,-1.349,0.357692104,,,,
1.1338,0.532905179,-1.9778,-1.3692,0.363048205,,,,
1.1438,0.537605348,-1.9844,-1.3895,0.368430821,,,,
1.1538,0.542305518,-1.9909,-1.4098,0.373813438,,,,
1.1638,0.547005687,-1.9975,-1.4304,0.379275601,,,,
1.1738,0.551705856,-2.0041,-1.451,0.384737763,,,,
1.1838,0.556406025,-2.0106,-1.4717,0.390226441,,,,
1.1938,0.561106194,-2.0172,-1.4926,0.39576815,,,,
1.2038,0.565806363,-2.0238,-1.5136,0.401336374,,,,
1.2138,0.570506533,-2.0303,-1.5347,0.406931113,,,,
1.2238,0.575206702,-2.0369,-1.5559,0.412552368,,,,
1.2338,0.579906871,-2.0435,-1.5772,0.418200138,,,,
1.2438,0.58460704,-2.05,-1.5986,0.423874423,,,,
1.2538,0.589307209,-2.0566,-1.6202,0.429601739,,,,
1.2638,0.594007378,-2.0632,-1.6418,0.435329056,,,,
1.2738,0.598707547,-2.0697,-1.6636,0.441109402,,,,
1.2838,0.603407717,-2.0763,-1.6854,0.446889749,,,,
1.2938,0.608107886,-2.0829,-1.7074,0.452723127,,,,
1.3038,0.612808055,-2.0895,-1.7294,0.458556504,,,,
1.3138,0.617508224,-2.096,-1.7516,0.464442912,,,,
1.3238,0.622208393,-2.1026,-1.7739,0.470355836,,,,
1.3338,0.626908562,-2.1092,-1.7962,0.47626876,,,,
1.3438,0.631608732,-2.1157,-1.8187,0.482234714,,,,
1.3538,0.636308901,-2.1223,-1.8413,0.488227184,,,,
1.3638,0.64100907,-2.1289,-1.8639,0.494219653,,,,
1.3738,0.645709239,-2.1354,-1.8867,0.500265154,,,,
1.3838,0.650409408,-2.142,-1.9095,0.506310654,,,,
1.3938,0.655109577,-2.1486,-1.9324,0.51238267,,,,
1.4038,0.659809747,-2.1551,-1.9555,0.518507716,,,,
1.4138,0.664509916,-2.1617,-1.9786,0.524632762,,,,
1.4238,0.669210085,-2.1683,-2.0018,0.530784324,,,,
1.4338,0.673910254,-2.1748,-2.0251,0.536962401,,,,
1.4438,0.678610423,-2.1814,-2.0485,0.543166994,,,,
1.4538,0.683310592,-2.188,-2.0719,0.549371586,,,,
1.4638,0.688010762,-2.1945,-2.0955,0.555629209,,,,
1.4738,0.692710931,-2.2011,-2.1191,0.561886832,,,,
1.4838,0.6974111,-2.2077,-2.1428,0.568170971,,,,
1.4938,0.702111269,-2.2142,-2.1666,0.574481625,,,,
1.5038,0.706811438,-2.2208,-2.1904,0.580792279,,,,
1.5138,0.711511607,-2.2274,-2.2144,0.587155963,,,,
1.5238,0.716211776,-2.2339,-2.2384,0.593519648,,,,
1.5338,0.720911946,-2.2405,-2.2625,0.599909848,,,,
1.5438,0.725612115,-2.2471,-2.2867,0.606326563,,,,
1.5538,0.730312284,-2.2536,-2.3109,0.612743278,,,,
1.5638,0.735012453,-2.2602,-2.3352,0.619186509,,,,
1.5738,0.739712622,-2.2668,-2.3596,0.625656255,,,,
1.5838,0.744412791,-2.2734,-2.384,0.632126001,,,,
1.5938,0.749112961,-2.2799,-2.4085,0.638622262,,,,
1.6038,0.75381313,-2.2865,-2.4331,0.645145039,,,,
1.6138,0.758513299,-2.2931,-2.4578,0.651694331,,,,
1.6238,0.763213468,-2.2996,-2.4825,0.658243623,,,,
1.6338,0.767913637,-2.3062,-2.5072,0.664792915,,,,
1.6438,0.772613806,-2.3128,-2.5321,0.671395238,,,,
1.6538,0.777313976,-2.3193,-2.557,0.677997561,,,,
1.6638,0.782014145,-2.3259,-2.5819,0.684599883,,,,
1.6738,0.786714314,-2.3325,-2.6069,0.691228721,,,,
1.6838,0.791414483,-2.339,-2.632,0.697884075,,,,
1.6938,0.796114652,-2.3456,-2.6571,0.704539428,,,,
1.7038,0.800814821,-2.3522,-2.6823,0.711221297,,,,
1.7138,0.80551499,-2.3587,-2.7075,0.717903166,,,,
1.7238,0.81021516,-2.3653,-2.7327,0.724585035,,,,
1.7338,0.814915329,-2.3719,-2.7581,0.731319934,,,,
1.7438,0.819615498,-2.3784,-2.7834,0.738028318,,,,
1.7538,0.824315667,-2.385,-2.8089,0.744789733,,,,
1.7638,0.829015836,-2.3916,-2.8343,0.751524633,,,,
1.7738,0.833716005,-2.3981,-2.8598,0.758286048,,,,
1.7838,0.838416175,-2.4047,-2.8854,0.765073978,,,,
1.7938,0.843116344,-2.4113,-2.911,0.771861908,,,,
1.8038,0.847816513,-2.4178,-2.9366,0.778649838,,,,
1.8138,0.852516682,-2.4244,-2.9623,0.785464284,,,,
1.8238,0.857216851,-2.431,-2.988,0.792278729,,,,
1.8338,0.86191702,-2.4375,-3.0138,0.79911969,,,,
1.8438,0.86661719,-2.4441,-3.0396,0.805960651,,,,
1.8538,0.871317359,-2.4507,-3.0654,0.812801612,,,,
1.8638,0.876017528,-2.4573,-3.0912,0.819642573,,,,
1.8738,0.880717697,-2.4638,-3.1171,0.826510049,,,,
1.8838,0.885417866,-2.4704,-3.1431,0.833404041,,,,
1.8938,0.890118035,-2.477,-3.169,0.840271517,,,,
1.9038,0.894818205,-2.4835,-3.195,0.847165509,,,,
1.9138,0.899518374,-2.4901,-3.221,0.8540595,,,,
1.9238,0.904218543,-2.4967,-3.247,0.860953492,,,,
1.9338,0.908918712,-2.5032,-3.2731,0.867873999,,,,
1.9438,0.913618881,-2.5098,-3.2992,0.874794506,,,,
1.9538,0.91831905,-2.5164,-3.3253,0.881715013,,,,
1.9638,0.923019219,-2.5229,-3.3514,0.88863552,,,,
1.9738,0.927719389,-2.5295,-3.3776,0.895582542,,,,
1.9838,0.932419558,-2.5361,-3.4037,0.902503049,,,,
1.9938,0.937119727,-2.5426,-3.4299,0.909450072,,,,
2.0038,0.941819896,-2.5492,-3.4561,0.916397094,,,,
2.0138,0.946520065,-2.5558,-3.4823,0.923344116,,,,
2.0238,0.951220234,-2.5623,-3.5086,0.930317654,,,,
2.0338,0.955920404,-2.5689,-3.5348,0.937264676,,,,
2.0438,0.960620573,-2.5755,-3.5611,0.944238214,,,,
2.0538,0.965320742,-2.582,-3.5873,0.951185236,,,,
2.0638,0.970020911,-2.5886,-3.6136,0.958158774,,,,
2.0738,0.97472108,-2.5952,-3.6399,0.965132312,,,,
2.0838,0.979421249,-2.6017,-3.6662,0.972105849,,,,
2.0938,0.984121419,-2.6083,-3.6925,0.979079387,,,,
2.1038,0.988821588,-2.6149,-3.7188,0.986052925,,,,
2.1138,0.993521757,-2.6214,-3.7451,0.993026462,,,,
2.1238,0.998221926,-2.628,-3.7714,1,,,,
